id,area,bbox_y,bbox_x,bbox_h,bbox_w,tile_sources,is_boundary
59,453,226,1538,40,17,r0_c1280,False
60,32854,381,1650,641,198,r0_c1280|r0_c1792|r512_c1280|r512_c1792,True
61,56,325,1291,10,7,r0_c1280,False
62,11,136,1570,6,5,r0_c1280,False
63,1420,191,1483,65,32,r0_c1280,False
64,100,223,1693,14,14,r0_c1280,False
65,48,350,1350,9,10,r0_c1280,False
66,2347,252,1452,89,34,r0_c1280,False
67,210,254,1665,22,18,r0_c1280,False
68,274,430,1585,82,85,r0_c1280,False
69,141,0,1479,17,28,r0_c1280,False
70,268,0,1724,19,20,r0_c1280,False
71,151,168,1298,70,18,r0_c1280,False
72,483,390,1766,21,40,r0_c1280|r0_c1792,True
73,385,385,1305,43,24,r0_c1280,False
74,291,74,1608,20,24,r0_c1280,False
75,153,312,1299,16,13,r0_c1280,False
76,90,296,1540,15,9,r0_c1280,False
77,127,337,1507,48,19,r0_c1280,False
78,84,492,1304,20,9,r0_c1280,False
79,142,124,1701,16,13,r0_c1280,False
80,1,496,1591,1,1,r0_c1280,False
81,59,258,1515,27,19,r0_c1280,False
82,201,399,1373,22,12,r0_c1280,False
83,194,451,1434,20,16,r0_c1280,False
84,153,303,1347,10,20,r0_c1280,False
85,120,165,1648,19,9,r0_c1280,False
86,131,90,1504,13,13,r0_c1280,False
87,85,413,1430,13,16,r0_c1280,False
88,132,282,1639,17,19,r0_c1280,False
89,460,301,1608,33,28,r0_c1280,False
90,391,65,1547,30,18,r0_c1280,False
91,621,358,1532,31,28,r0_c1280,False
92,1,133,1531,1,1,r0_c1280,False
93,2,122,1696,2,2,r0_c1280,False
94,1940,6,1690,64,44,r0_c1280,False
95,52,31,1459,10,8,r0_c1280,False
96,115,212,1377,14,11,r0_c1280,False
97,323,497,1330,25,19,r0_c1280|r512_c1280,True
98,718,79,1422,62,17,r0_c1280,False
99,72,220,1519,8,12,r0_c1280,False
100,158,239,1570,20,15,r0_c1280,False
101,26,114,1568,30,11,r0_c1280,False
102,228,444,1349,18,24,r0_c1280,False
103,56,334,1442,27,8,r0_c1280,False
104,48,330,1517,7,9,r0_c1280,False
105,840,225,1388,49,34,r0_c1280,False
106,275,309,1572,28,16,r0_c1280,False
107,73,87,1582,11,9,r0_c1280,False
108,2,201,1758,3,2,r0_c1280,False
109,455,398,1362,53,22,r0_c1280,False
110,90,246,1665,29,25,r0_c1280,False
111,261,190,1390,26,18,r0_c1280,False
112,632,2,1623,32,34,r0_c1280,False
113,144,433,1436,38,14,r0_c1280,False
114,88,256,1500,15,11,r0_c1280,False
115,156,238,1585,17,13,r0_c1280,False
116,1011,213,1391,75,37,r0_c1280,False
117,772,171,1697,53,46,r0_c1280,False
118,335,108,1434,41,40,r0_c1280,False
119,199,40,1536,21,12,r0_c1280,False
120,46,0,1716,16,27,r0_c1280,False
121,192,124,1685,19,15,r0_c1280,False
122,210,128,1599,20,14,r0_c1280,False
123,5,106,1676,23,12,r0_c1280,False
124,216,0,1384,21,21,r0_c1280,False
125,155,494,1437,18,14,r0_c1280,False
126,325,52,1502,24,18,r0_c1280,False
127,2846,496,1545,100,61,r0_c1280|r512_c1280,True
128,196,333,1551,27,16,r0_c1280,False
129,9,133,1444,4,12,r0_c1280,False
130,3,21,1539,3,1,r0_c1280,False
131,34,211,1397,9,11,r0_c1280,False
132,15,134,1619,12,8,r0_c1280,False
133,3330,330,1608,61,82,r0_c1280,False
134,3,233,1732,1,3,r0_c1280,False
135,2964,227,1702,80,52,r0_c1280,False
136,93,69,1383,11,11,r0_c1280,False
137,30454,0,1750,297,157,r0_c1280|r0_c1792,True
138,327,0,1800,13,40,r0_c1792,False
139,3632,370,2238,44,126,r0_c1792|r0_c2304,True
140,1808,434,1932,41,57,r0_c1792,False
141,441,291,1944,25,23,r0_c1792,False
142,7206,455,2084,79,216,r0_c1792|r512_c1792,True
143,35248,418,2190,293,318,r0_c1792|r0_c2304|r512_c1792|r512_c2304,True
144,1627,202,1950,42,52,r0_c1792,False
145,3193,320,2001,47,89,r0_c1792,False
146,2392,479,2007,45,69,r0_c1792|r512_c1792,True
147,11351,192,2146,64,297,r0_c1792|r0_c2304,True
148,1313,335,1960,41,41,r0_c1792,False
149,3071,484,1915,48,94,r0_c1792|r512_c1792,True
150,3236,92,2238,52,140,r0_c1792|r0_c2304,True
151,771,103,1971,33,29,r0_c1792,False
152,1139,394,1956,33,45,r0_c1792,False
153,254,324,1929,21,18,r0_c1792,False
154,830,276,1968,30,34,r0_c1792,False
155,4277,257,2008,59,128,r0_c1792,False
156,6685,358,2064,57,159,r0_c1792,False
157,2555,433,1939,49,112,r0_c1792,False
158,103,408,1929,11,13,r0_c1792,False
159,4566,222,1978,51,149,r0_c1792,False
160,2223,385,2009,45,79,r0_c1792,False
161,8306,135,1996,54,232,r0_c1792,False
162,29,11,1804,21,5,r0_c1792,False
163,5512,36,2152,43,192,r0_c1792|r0_c2304,True
164,13190,393,2124,92,264,r0_c1792|r0_c2304,True
165,1283,462,2061,26,69,r0_c1792,False
166,132,438,1983,45,72,r0_c1792,False
167,12477,301,2128,69,247,r0_c1792|r0_c2304,True
168,12079,76,2006,54,342,r0_c1792|r0_c2304,True
169,38,471,2287,16,11,r0_c1792,False
170,6148,140,2225,52,190,r0_c1792|r0_c2304,True
171,1027,29,2115,40,50,r0_c1792,False
172,1367,376,1987,35,62,r0_c1792,False
173,1818,429,2062,35,66,r0_c1792,False
174,7293,0,2085,47,271,r0_c1792|r0_c2304,True
175,6192,26,1991,65,145,r0_c1792,False
176,11379,181,2088,149,379,r0_c1792|r0_c2304,True
177,281,298,2180,72,124,r0_c1792,False
178,90,326,1941,24,9,r0_c1792,False
179,294,338,1969,41,41,r0_c1792,False
180,74,410,2025,20,66,r0_c1792,False
181,104,491,1996,20,16,r0_c1792,False
182,71,117,1901,10,10,r0_c1792,False
183,110,203,1964,42,40,r0_c1792,False
184,12,364,2024,4,27,r0_c1792,False
185,132,470,1943,9,38,r0_c1792,False
186,19,456,2092,8,36,r0_c1792,False
187,2304,27,1792,277,119,r0_c1792,False
188,106,296,1951,24,20,r0_c1792,False
189,56,156,1945,11,8,r0_c1792,False
190,3212,0,1935,184,57,r0_c1792,False
191,201,0,2077,19,158,r0_c1792,False
192,126,442,2036,22,22,r0_c1792,False
193,18,319,2088,11,47,r0_c1792,False
194,45,480,2101,8,21,r0_c1792,False
195,407,332,1878,25,28,r0_c1792,False
196,34,475,2010,8,22,r0_c1792,False
197,1073,139,2164,80,252,r0_c1792|r0_c2304,True
198,5,307,2024,9,49,r0_c1792,False
199,123,24,1795,278,117,r0_c1792,False
200,213,468,1988,19,54,r0_c1792,False
201,517,14,1993,26,32,r0_c1792,False
202,11551,455,1803,201,95,r0_c1792|r512_c1792,True
203,21,117,1985,20,16,r0_c1792,False
204,203,32,2182,16,89,r0_c1792,False
205,127,419,1968,12,33,r0_c1792,False
206,116,51,1923,17,9,r0_c1792,False
207,337,122,1900,39,17,r0_c1792,False
208,253,362,1792,15,24,r0_c1792,False
209,705,386,1861,33,38,r0_c1792,False
210,20,152,2289,4,7,r0_c1792,False
211,860,70,2047,58,249,r0_c1792,False
212,4961,178,2027,47,176,r0_c1792,False
213,35,399,2110,16,107,r0_c1792,False
214,534,4,1949,46,20,r0_c1792,False
215,381,319,2015,51,81,r0_c1792,False
216,5,5,2077,7,2,r0_c1792,False
217,1,301,2249,1,1,r0_c1792,False
218,33,304,1976,4,20,r0_c1792,False
219,126,185,1948,27,8,r0_c1792,False
220,151,267,1941,18,13,r0_c1792,False
221,402,39,1974,35,38,r0_c1792,False
222,28,222,2019,51,101,r0_c1792,False
223,124,364,1882,11,18,r0_c1792,False
224,63,177,2226,10,8,r0_c1792,False
225,36,260,1940,14,12,r0_c1792,False
226,36,135,2067,48,68,r0_c1792,False
227,5,222,2103,1,8,r0_c1792,False
228,6,406,2202,5,8,r0_c1792,False
229,4,27,2009,12,12,r0_c1792,False
230,200,7,1937,21,18,r0_c1792,False
231,206,302,1792,19,16,r0_c1792,False
232,858,0,1987,33,53,r0_c1792,False
233,164,68,1923,22,17,r0_c1792,False
234,121,376,1989,39,69,r0_c1792,False
235,8022,194,1882,317,62,r0_c1792,False
236,7,272,2021,1,15,r0_c1792,False
237,574,0,1976,72,100,r0_c1792,False
238,134,224,1903,30,15,r0_c1792,False
239,95,479,2071,12,57,r0_c1792,False
240,498,59,1928,69,26,r0_c1792,False
241,7,35,1962,7,3,r0_c1792,False
242,315,224,1888,33,30,r0_c1792,False
243,4,445,2036,20,19,r0_c1792,False
244,19,244,2292,4,6,r0_c1792,False
245,4,250,2262,4,4,r0_c1792,False
246,590,203,1888,30,31,r0_c1792,False
247,4,241,1934,52,9,r0_c1792,False
248,337,260,1875,32,25,r0_c1792,False
249,9,503,2146,7,4,r0_c1792,False
250,127,234,1871,17,11,r0_c1792,False
251,1,510,2257,1,1,r0_c1792,False
252,2028,461,2404,45,56,r0_c2304,False
253,485,343,2471,29,23,r0_c2304,False
254,102,341,2546,14,9,r0_c2304,False
255,1124,176,2807,62,50,r0_c2304|r0_c2816,True
256,13897,443,2419,290,218,r0_c2304|r512_c2304,True
257,1268,152,2411,38,53,r0_c2304,False
258,929,200,2509,81,16,r0_c2304,False
259,257,369,2639,15,23,r0_c2304,False
260,826,489,2728,34,37,r0_c2304|r512_c2304,True
261,219,197,2649,18,20,r0_c2304,False
262,199,384,2533,18,15,r0_c2304,False
263,7468,282,2640,254,122,r0_c2304|r512_c2304,True
264,1007,262,2576,43,34,r0_c2304,False
265,629,0,2368,17,48,r0_c2304,False
266,1225,383,2525,65,31,r0_c2304,False
267,304,0,2368,19,92,r0_c2304,False
268,408,293,2775,28,18,r0_c2304,False
269,358,1,2363,22,57,r0_c2304,False
270,105,360,2795,14,14,r0_c2304,False
271,85,0,2425,9,37,r0_c2304,False
272,1272,369,2757,51,36,r0_c2304,False
273,75,434,2753,21,13,r0_c2304,False
274,854,343,2732,36,35,r0_c2304,False
275,66,71,2353,8,10,r0_c2304,False
276,391,298,2624,26,21,r0_c2304,False
277,183,319,2765,19,13,r0_c2304,False
278,601,335,2768,35,25,r0_c2304,False
279,460,368,2483,30,35,r0_c2304,False
280,126,208,2668,12,16,r0_c2304,False
281,85,346,2374,10,11,r0_c2304,False
282,2533,418,2319,60,93,r0_c2304,False
283,637,274,2805,40,27,r0_c2304|r0_c2816,True
284,115,30,2309,18,9,r0_c2304,False
285,161,339,2579,13,15,r0_c2304,False
286,1455,398,2564,61,45,r0_c2304,False
287,166,302,2722,15,15,r0_c2304,False
288,250,236,2579,23,18,r0_c2304,False
289,72,135,2436,11,10,r0_c2304,False
290,181,273,2525,30,15,r0_c2304,False
291,156,178,2403,15,51,r0_c2304,False
292,54,45,2396,10,6,r0_c2304,False
293,94,28,2334,15,9,r0_c2304,False
294,118,55,2434,14,12,r0_c2304,False
295,370,224,2483,39,17,r0_c2304,False
296,71,365,2710,10,13,r0_c2304,False
297,63,425,2482,13,7,r0_c2304,False
298,106,346,2608,11,13,r0_c2304,False
299,793,246,2382,20,52,r0_c2304,False
300,80,260,2349,11,11,r0_c2304,False
301,68,345,2332,12,8,r0_c2304,False
302,1573,260,2468,98,31,r0_c2304,False
303,109,336,2724,13,12,r0_c2304,False
304,49,351,2487,18,9,r0_c2304,False
305,50,50,2416,9,7,r0_c2304,False
306,258,262,2613,25,17,r0_c2304,False
307,63,473,2688,20,5,r0_c2304,False
308,49,221,2734,7,10,r0_c2304,False
309,690,420,2458,29,46,r0_c2304,False
310,145,127,2808,33,8,r0_c2304,False
311,185,226,2543,27,11,r0_c2304,False
312,224,211,2706,16,35,r0_c2304,False
313,20,308,2358,7,5,r0_c2304,False
314,1017,0,2475,70,30,r0_c2304,False
315,702,179,2450,61,28,r0_c2304,False
316,154,442,2611,22,19,r0_c2304,False
317,5,366,2485,17,19,r0_c2304,False
318,257,417,2783,26,22,r0_c2304,False
319,152,494,2504,17,13,r0_c2304,False
320,84,241,2658,20,21,r0_c2304,False
321,383,282,2746,35,21,r0_c2304,False
322,255,362,2599,35,12,r0_c2304,False
323,96,254,2526,18,8,r0_c2304,False
324,2,14,2498,24,2,r0_c2304,False
325,53,434,2498,8,9,r0_c2304,False
326,1736,237,2750,71,65,r0_c2304,False
327,1,137,2813,1,1,r0_c2304,False
328,374,359,2608,37,15,r0_c2304,False
329,3044,274,2341,120,95,r0_c2304,False
330,344,297,2394,25,16,r0_c2304,False
331,947,295,2358,48,38,r0_c2304,False
332,297,182,2683,17,24,r0_c2304,False
333,103,207,2794,11,11,r0_c2304,False
334,370,392,2376,22,29,r0_c2304,False
335,134,212,2613,14,13,r0_c2304,False
336,193,382,2567,18,13,r0_c2304,False
337,146,357,2570,18,10,r0_c2304,False
338,134,358,2552,17,10,r0_c2304,False
339,75,362,2542,11,8,r0_c2304,False
340,324,300,2564,17,23,r0_c2304,False
341,184,281,2544,15,16,r0_c2304,False
342,132,300,2544,15,11,r0_c2304,False
343,226,322,2546,13,23,r0_c2304,False
344,96,281,2610,12,10,r0_c2304,False
345,71,230,2582,10,9,r0_c2304,False
346,218,206,2545,17,17,r0_c2304,False
347,72,223,2556,10,8,r0_c2304,False
348,207,251,2542,27,14,r0_c2304,False
349,223,255,2555,23,18,r0_c2304,False
350,140,268,2568,20,12,r0_c2304,False
351,92,254,2626,12,9,r0_c2304,False
352,176,258,2601,21,12,r0_c2304,False
353,94,338,2566,13,9,r0_c2304,False
354,148,307,2596,19,13,r0_c2304,False
355,428,178,2577,31,24,r0_c2304,False
356,794,184,2588,34,40,r0_c2304,False
357,356,212,2563,42,19,r0_c2304,False
358,184,210,2627,21,12,r0_c2304,False
359,118,210,2645,15,11,r0_c2304,False
360,417,228,2637,28,22,r0_c2304,False
361,171,232,2624,17,13,r0_c2304,False
362,119,242,2618,16,9,r0_c2304,False
363,111,220,2656,14,11,r0_c2304,False
364,208,285,2521,28,10,r0_c2304,False
365,455,221,2529,40,15,r0_c2304,False
366,212,198,2533,23,20,r0_c2304,False
367,230,186,2520,18,25,r0_c2304,False
368,127,70,2491,17,9,r0_c2304,False
369,1781,69,2370,53,77,r0_c2304,False
370,328,108,2381,16,27,r0_c2304,False
371,150,126,2401,14,14,r0_c2304,False
372,157,109,2361,13,16,r0_c2304,False
373,168,94,2378,14,17,r0_c2304,False
374,280,287,2304,16,31,r0_c2304,False
375,278,379,2548,29,14,r0_c2304,False
376,210,92,2395,15,22,r0_c2304,False
377,592,220,2592,38,25,r0_c2304,False
378,147,261,559,19,11,r0_c256,False
379,157,319,753,18,12,r0_c256,False
380,237,271,647,22,14,r0_c256,False
381,180,450,514,20,12,r0_c256,False
382,110,279,730,14,9,r0_c256,False
383,900,336,589,51,28,r0_c256,False
384,1560,0,538,47,49,r0_c256,False
385,22857,408,467,196,190,r0_c256|r512_c256,True
386,8504,49,378,243,55,r0_c256,False
387,4173,437,666,118,64,r0_c256|r512_c256,True
388,145,429,516,23,10,r0_c256,False
389,326,396,565,22,27,r0_c256,False
390,789,1,351,47,23,r0_c256,False
391,418,255,592,32,21,r0_c256,False
392,3445,285,672,97,121,r0_c256|r0_c768,True
393,484,375,507,37,29,r0_c256,False
394,8815,315,719,263,100,r0_c256|r0_c768|r512_c256|r512_c768,True
395,21,0,536,39,25,r0_c256,False
396,227,0,436,20,22,r0_c256,False
397,24217,427,320,334,141,r0_c256|r512_c256,True
398,337,282,404,38,14,r0_c256,False
399,6293,280,658,207,72,r0_c256,False
400,337,428,626,25,21,r0_c256,False
401,1,336,759,1,1,r0_c256,False
402,2172,265,315,165,29,r0_c256,False
403,8351,139,256,466,36,r0_c256|r512_c256,True
404,3,321,752,3,1,r0_c256,False
405,203,217,582,17,17,r0_c256,False
406,577,477,717,32,32,r0_c256,False
407,397,380,560,26,27,r0_c256,False
408,43215,0,293,511,142,r0_c256,False
409,6692,1,670,130,98,r0_c256,False
410,117,269,660,15,13,r0_c256,False
411,236,334,588,56,31,r0_c256,False
412,21,264,315,160,21,r0_c256,False
413,162,317,414,29,9,r0_c256,False
414,81,491,304,18,6,r0_c256,False
415,2,437,608,4,3,r0_c256,False
416,669,20,406,269,38,r0_c256,False
417,692,79,723,90,67,r0_c256|r0_c768,True
418,1227,352,514,54,36,r0_c256,False
419,2415,62,529,192,72,r0_c256,False
420,422,458,445,53,24,r0_c256,False
421,692,157,544,76,31,r0_c256,False
422,1041,459,431,53,28,r0_c256,False
423,22322,1,256,510,74,r0_c256,False
424,491,407,513,19,47,r0_c256,False
425,50,278,404,12,13,r0_c256,False
426,45,417,561,8,14,r0_c256,False
427,2853,289,416,223,41,r0_c256,False
428,2250,315,703,156,38,r0_c256,False
429,21536,50,426,460,103,r0_c256,False
430,4087,127,519,257,65,r0_c256,False
431,129,405,616,14,12,r0_c256,False
432,117,340,500,16,12,r0_c256,False
433,772,402,3318,110,10,r0_c2816,False
434,5282,423,3173,89,78,r0_c2816,False
435,315,145,2930,19,21,r0_c2816,False
436,92,496,2886,13,11,r0_c2816,False
437,100,219,2934,9,17,r0_c2816,False
438,18514,38,2851,187,141,r0_c2816,False
439,209,121,3248,25,15,r0_c2816,False
440,1743,478,3242,34,65,r0_c2816,False
441,118,216,2860,12,16,r0_c2816,False
442,742,5,2963,33,33,r0_c2816,False
443,700,466,2968,46,52,r0_c2816,False
444,444,215,3136,44,14,r0_c2816,False
445,61,0,3299,5,24,r0_c2816,False
446,231,75,3220,23,15,r0_c2816,False
447,231,331,3284,17,18,r0_c2816,False
448,22553,360,2763,343,197,r0_c2304|r0_c2816|r512_c2304|r512_c2816,True
449,1016,364,3056,65,26,r0_c2816,False
450,10416,285,3249,187,79,r0_c2816,False
451,693,226,2955,42,40,r0_c2816,False
452,18522,1,3103,259,225,r0_c2816,False
453,383,247,3262,35,23,r0_c2816,False
454,13,407,2873,101,49,r0_c2816,False
455,5843,216,2848,153,210,r0_c2816,False
456,777,420,3213,91,46,r0_c2816,False
457,71,176,3271,10,9,r0_c2816,False
458,29,217,2869,7,11,r0_c2816,False
459,115,169,2823,15,10,r0_c2816,False
460,479,472,3269,39,46,r0_c2816,False
461,152,166,3011,15,14,r0_c2816,False
462,275,0,2973,37,31,r0_c2816,False
463,124,80,3190,12,20,r0_c2816,False
464,110,70,3225,24,13,r0_c2816,False
465,89,70,3174,10,15,r0_c2816,False
466,526,170,2835,36,30,r0_c2816,False
467,729,190,2992,37,31,r0_c2816,False
468,7085,410,2925,102,145,r0_c2816,False
469,63,114,3251,12,10,r0_c2816,False
470,22,334,3325,12,3,r0_c2816,False
471,284,211,3140,49,18,r0_c2816,False
472,2223,342,3024,74,41,r0_c2816,False
473,126,174,2856,14,13,r0_c2816,False
474,55,3,3082,8,10,r0_c2816,False
475,484,307,3277,159,50,r0_c2816,False
476,31,0,3278,2,22,r0_c2816,False
477,777,415,3069,31,42,r0_c2816,False
478,41,72,3164,9,7,r0_c2816,False
479,1103,209,3220,35,44,r0_c2816,False
480,12338,354,3069,157,120,r0_c2816,False
481,56,265,3117,8,10,r0_c2816,False
482,288,43,3071,26,32,r0_c2816,False
483,4,302,3296,2,5,r0_c2816,False
484,714,499,3069,40,43,r0_c2816|r512_c2816,True
485,454,217,2821,26,32,r0_c2816,False
486,181,460,3307,37,12,r0_c2816,False
487,1594,0,3045,91,27,r0_c2816,False
488,1872,232,3172,65,39,r0_c2816,False
489,6391,224,3082,138,77,r0_c2816,False
490,788,140,3032,31,43,r0_c2816,False
491,177,243,3268,32,19,r0_c2816,False
492,669,54,3068,36,35,r0_c2816,False
493,2612,340,3012,163,67,r0_c2816,False
494,5447,91,3136,126,69,r0_c2816,False
495,116,155,3077,40,12,r0_c2816,False
496,250,511,3226,28,17,r0_c2816|r512_c2816,True
497,7193,79,3067,195,74,r0_c2816,False
498,8603,232,3174,184,74,r0_c2816,False
499,3409,162,2998,95,81,r0_c2816,False
500,3605,90,3138,124,112,r0_c2816,False
501,87,316,3320,20,8,r0_c2816,False
502,544,295,3057,42,23,r0_c2816,False
503,143,171,3238,16,13,r0_c2816,False
504,133,65,3125,12,14,r0_c2816,False
505,223,291,3302,19,17,r0_c2816,False
506,182,356,3153,16,16,r0_c2816,False
507,297,4,3085,24,16,r0_c2816,False
508,235,14,3069,20,14,r0_c2816,False
509,424,79,3111,25,24,r0_c2816,False
510,226,113,3121,26,11,r0_c2816,False
511,266,341,3070,18,19,r0_c2816,False
512,369,253,3063,32,15,r0_c2816,False
513,546,262,3041,39,24,r0_c2816,False
514,240,203,3260,17,19,r0_c2816,False
515,292,265,3292,25,16,r0_c2816,False
516,352,89,3246,24,20,r0_c2816,False
517,159,141,3272,22,9,r0_c2816,False
518,373,148,3247,24,22,r0_c2816,False
519,128,274,2995,14,11,r0_c2816,False
520,404,341,3247,51,11,r0_c2816,False
521,368,397,3227,22,24,r0_c2816,False
522,1003,498,3097,45,54,r0_c2816|r512_c2816,True
523,163,486,3156,15,15,r0_c2816,False
524,446,216,3153,37,18,r0_c2816,False
525,217,74,3137,18,19,r0_c2816,False
526,411,316,2900,29,18,r0_c2816,False
527,483,319,2818,30,32,r0_c2816,False
528,130,354,2818,18,10,r0_c2816,False
529,111,152,2816,16,15,r0_c2816,False
530,138,150,2842,17,19,r0_c2816,False
531,106,130,3043,14,12,r0_c2816,False
532,201,10,3276,14,18,r0_c2816,False
533,86,16,3318,10,10,r0_c2816,False
534,132,3,3305,18,13,r0_c2816,False
535,82,448,1072,12,9,r0_c768,False
536,242,361,1086,23,14,r0_c768,False
537,123,456,1241,17,11,r0_c768,False
538,17696,0,1224,183,202,r0_c1280|r0_c768,True
539,329,496,1237,33,15,r0_c768|r512_c768,True
540,583,438,1030,52,19,r0_c768,False
541,291,357,1125,19,22,r0_c768,False
542,336,500,1006,23,31,r0_c768|r512_c768,True
543,232,348,1244,22,16,r0_c768,False
544,856,383,1093,54,23,r0_c768,False
545,583,465,1114,29,27,r0_c768,False
546,744,379,1086,64,33,r0_c768,False
547,99,493,971,13,10,r0_c768,False
548,331,466,981,28,17,r0_c768,False
549,141,4,1102,19,20,r0_c768,False
550,141,82,1172,18,17,r0_c768,False
551,16,0,1163,4,6,r0_c768,False
552,106,494,1002,13,13,r0_c768,False
553,325,419,1162,22,20,r0_c768,False
554,4705,360,947,66,99,r0_c768,False
555,290,305,1160,33,25,r0_c768,False
556,155,60,1202,16,13,r0_c768,False
557,126,445,1010,20,9,r0_c768,False
558,14,380,1090,6,7,r0_c768,False
559,4433,496,812,71,122,r0_c768|r512_c768,True
560,53,455,1051,9,8,r0_c768,False
561,139,348,1187,14,13,r0_c768,False
562,383,439,1164,24,21,r0_c768,False
563,448,386,1044,35,22,r0_c768,False
564,281,334,1198,22,17,r0_c768,False
565,3331,257,1246,138,76,r0_c1280|r0_c768,True
566,113,297,1118,26,12,r0_c768,False
567,152,162,1075,20,20,r0_c768,False
568,197,390,1160,17,20,r0_c768,False
569,254,232,1077,37,26,r0_c768,False
570,2243,360,874,83,57,r0_c768,False
571,593,444,1262,60,32,r0_c1280|r0_c768,True
572,1106,277,1061,66,41,r0_c768,False
573,25,373,1135,5,8,r0_c768,False
574,1964,498,910,83,54,r0_c768|r512_c768,True
575,4829,80,1237,177,77,r0_c1280|r0_c768,True
576,2377,146,768,88,43,r0_c768,False
577,1843,245,1167,75,55,r0_c768,False
578,128,300,990,19,14,r0_c768,False
579,152,425,860,16,15,r0_c768,False
580,90,21,1041,14,20,r0_c768,False
581,53,498,1263,10,10,r0_c768,False
582,352,364,1173,31,15,r0_c768,False
583,235,229,845,19,21,r0_c768,False
584,455,327,1097,25,29,r0_c768,False
585,311,83,938,26,27,r0_c768,False
586,54,402,1114,40,6,r0_c768,False
587,6959,201,809,158,103,r0_c768,False
588,552,377,1094,72,36,r0_c768,False
589,227,361,1043,54,15,r0_c768,False
590,60,310,946,13,8,r0_c768,False
591,283,0,1145,19,30,r0_c768,False
592,261,245,855,26,30,r0_c768,False
593,135,413,1151,15,15,r0_c768,False
594,470,230,1151,28,28,r0_c768,False
595,300,400,1234,41,19,r0_c768,False
596,2310,318,1131,74,93,r0_c768,False
597,2087,288,896,100,57,r0_c768,False
598,186,139,949,17,16,r0_c768,False
599,109,386,916,13,11,r0_c768,False
600,122,171,1228,14,16,r0_c768,False
601,124,36,840,12,12,r0_c768,False
602,169,132,967,16,13,r0_c768,False
603,156,232,939,12,16,r0_c768,False
604,554,330,996,30,30,r0_c768,False
605,257,326,1034,25,18,r0_c768,False
606,104,344,1051,17,10,r0_c768,False
607,126,438,952,19,12,r0_c768,False
608,105,356,803,15,9,r0_c768,False
609,140,132,999,16,11,r0_c768,False
610,302,156,986,22,23,r0_c768,False
611,283,87,1047,24,18,r0_c768,False
612,172,66,872,20,13,r0_c768,False
613,112,136,843,12,11,r0_c768,False
614,227,169,1148,19,17,r0_c768,False
615,143,186,1232,15,12,r0_c768,False
616,150,172,892,15,14,r0_c768,False
617,159,476,1252,14,14,r0_c768,False
618,104,460,1192,15,10,r0_c768,False
619,110,467,1168,14,10,r0_c768,False
620,132,485,1164,20,9,r0_c768,False
621,115,419,1192,13,11,r0_c768,False
