id,area,bbox_y,bbox_x,bbox_h,bbox_w
102,131,42.0,382.0,13.0,14.0
103,120,74.0,341.0,12.0,15.0
104,111,87.0,341.0,11.0,13.0
105,94,98.0,343.0,10.0,14.0
106,113,107.0,359.0,9.0,15.0
107,68,107.0,376.0,8.0,11.0
108,98,116.0,371.0,12.0,12.0
109,23,120.0,386.0,5.0,7.0
110,80,122.0,390.0,9.0,13.0
111,96,85.0,376.0,11.0,11.0
112,190,126.0,354.0,14.0,18.0
113,69,121.0,324.0,9.0,10.0
114,285,152.0,340.0,15.0,22.0
115,108,164.0,335.0,12.0,12.0
116,49,173.0,342.0,6.0,12.0
117,103,181.0,339.0,9.0,15.0
118,163,191.0,351.0,14.0,15.0
119,165,159.0,364.0,16.0,14.0
120,190,220.0,375.0,13.0,20.0
121,271,232.0,382.0,18.0,19.0
122,138,44.0,466.0,15.0,16.0
123,159,102.0,471.0,19.0,12.0
124,89,125.0,488.0,13.0,14.0
125,96,186.0,407.0,11.0,12.0
126,109,197.0,412.0,13.0,13.0
127,361,203.0,473.0,27.0,19.0
128,436,199.0,491.0,25.0,21.0
129,99,168.0,487.0,14.0,11.0
130,114,177.0,476.0,14.0,12.0
131,259,234.0,485.0,18.0,23.0
132,336,196.0,390.0,22.0,20.0
133,227,180.0,385.0,15.0,19.0
134,185,225.0,398.0,17.0,16.0
135,150,236.0,355.0,20.0,11.0
136,70,243.0,407.0,9.0,12.0
137,59,253.0,410.0,8.0,11.0
138,82,265.0,410.0,9.0,12.0
139,56,227.0,300.0,10.0,7.0
140,189,221.0,304.0,14.0,21.0
141,131,274.0,299.0,10.0,16.0
142,136,260.0,350.0,15.0,12.0
162,171,316.0,220.0,14.0,17.0
163,301,297.0,375.0,18.0,24.0
164,75,294.0,389.0,8.0,13.0
165,414,287.0,415.0,31.0,23.0
166,91,325.0,439.0,13.0,12.0
167,182,340.0,455.0,18.0,19.0
168,245,354.0,467.0,23.0,24.0
169,228,369.0,454.0,17.0,17.0
170,191,391.0,478.0,17.0,15.0
171,301,368.0,483.0,23.0,23.0
172,300,381.0,303.0,21.0,21.0
173,170,378.0,294.0,16.0,13.0
174,212,336.0,293.0,13.0,21.0
175,151,298.0,265.0,17.0,14.0
176,124,396.0,286.0,14.0,11.0
177,179,444.0,287.0,14.0,16.0
178,237,484.0,283.0,17.0,23.0
179,104,493.0,407.0,9.0,15.0
180,277,465.0,342.0,22.0,17.0
182,200,322.0,353.0,20.0,14.0
183,97,304.0,346.0,12.0,12.0
184,137,265.0,375.0,9.0,20.0
185,158,376.0,410.0,13.0,17.0
186,13,400.0,333.0,9.0,5.0
187,80,421.0,299.0,13.0,10.0
188,123,445.0,266.0,14.0,11.0
189,177,465.0,268.0,16.0,15.0
190,121,346.0,0.0,14.0,13.0
191,58,378.0,14.0,8.0,10.0
192,148,402.0,82.0,17.0,12.0
193,295,379.0,122.0,16.0,25.0
194,130,396.0,130.0,9.0,19.0
195,236,383.0,151.0,22.0,15.0
196,139,464.0,83.0,11.0,18.0
197,78,470.0,103.0,13.0,11.0
198,107,478.0,98.0,14.0,9.0
199,77,486.0,108.0,9.0,12.0
200,131,485.0,81.0,13.0,14.0
201,88,359.0,38.0,12.0,10.0
202,54,330.0,16.0,10.0,9.0
203,200,322.0,29.0,15.0,18.0
204,116,313.0,30.0,9.0,16.0
205,237,309.0,14.0,20.0,17.0
206,211,298.0,30.0,16.0,17.0
207,680,315.0,99.0,23.0,41.0
208,182,300.0,144.0,16.0,19.0
209,179,302.0,202.0,14.0,19.0
210,135,336.0,218.0,12.0,16.0
211,143,340.0,173.0,15.0,13.0
212,140,299.0,329.0,17.0,12.0
213,85,398.0,326.0,11.0,10.0
214,60,417.0,284.0,12.0,7.0
215,93,482.0,315.0,13.0,11.0
